observation_date,MEXPROMANMISMEI
2017-08-01,103.781999999999996
2017-09-01,101.897999999999996
2017-10-01,103.890799999999999
2017-11-01,104.383600000000001
2017-12-01,104.164599999999993
2018-01-01,103.475499999999997
2018-02-01,103.610799999999998
2018-03-01,105.153499999999994
2018-04-01,102.034800000000004
2018-05-01,105.394000000000005
2018-06-01,105.458299999999994
2018-07-01,105.499799999999993
2018-08-01,105.872200000000007
2018-09-01,106.644199999999998
2018-10-01,105.358500000000006
2018-11-01,106.252799999999993
2018-12-01,104.648700000000005
2019-01-01,104.937500000000000
2019-02-01,105.846699999999998
2019-03-01,104.767399999999995
2019-04-01,105.513300000000001
2019-05-01,105.887799999999999
2019-06-01,106.220100000000002
2019-07-01,106.147400000000005
2019-08-01,105.385900000000007
2019-09-01,106.419399999999996
2019-10-01,103.175299999999993
2019-11-01,102.739999999999995
2019-12-01,101.453299999999999
2020-01-01,103.483800000000002
2020-02-01,103.114000000000004
2020-03-01,98.741730000000004
2020-04-01,71.107489999999999
2020-05-01,71.929789999999997
2020-06-01,91.533010000000004
2020-07-01,96.899640000000005
2020-08-01,99.264629999999997
2020-09-01,104.015299999999996
2020-10-01,104.266400000000004
2020-11-01,104.342699999999994
2020-12-01,104.805300000000003
2021-01-01,104.530900000000003
2021-02-01,101.715199999999996
2021-03-01,105.706900000000005
2021-04-01,105.049599999999998
2021-05-01,104.061099999999996
2021-06-01,104.796700000000001
2021-07-01,104.759299999999996
2021-08-01,104.478099999999998
2021-09-01,102.573899999999995
2021-10-01,104.796800000000005
2021-11-01,105.797200000000004
2021-12-01,107.567200000000000
2022-01-01,108.478600000000000
2022-02-01,109.159999999999997
2022-03-01,109.019999999999996
2022-04-01,109.668899999999994
2022-05-01,110.525999999999996
2022-06-01,109.643900000000002
2022-07-01,110.782899999999998
2022-08-01,112.022400000000005
2022-09-01,111.055700000000002
2022-10-01,111.560000000000002
2022-11-01,111.813000000000002
2022-12-01,112.696500000000000
2023-01-01,112.037199999999999
2023-02-01,111.112099999999998
2023-03-01,110.497399999999999
2023-04-01,111.901499999999999
2023-05-01,111.494100000000003
2023-06-01,111.803100000000001
2023-07-01,111.932199999999995
2023-08-01,110.838899999999995
2023-09-01,112.729900000000001
2023-10-01,112.171700000000001
2023-11-01,111.664000000000001
2023-12-01,110.401100000000000
2024-01-01,110.531800000000004
2024-02-01,111.332099999999997
2024-03-01,112.200199999999995
